ID.v,00,01,02,03,04,05,06,07,08,09,Detection
61,0,0,0,0,0,0,0,0,0,0,No
62,0,0,0,0,0,0,0,0,0,0,No
64,0,0,0,0,0,0,0,0,0,0,No
65,0,1,0,0,0,0,0,0,0,0,Yes
66,0,0,0,0,0,0,0,0,0,0,No
67,1,0,1,0,0,0,1,0,0,0,Yes
68,0,0,0,0,0,0,0,0,0,0,No
69,0,0,0,0,0,0,0,0,0,0,No
70,0,0,0,0,0,0,0,0,0,0,No
71,0,0,0,0,0,0,0,0,0,0,No
72,0,1,1,1,1,1,1,1,0,0,Yes
73,1,0,0,1,0,1,1,1,1,1,Yes
74,0,0,0,0,0,0,0,0,0,0,No
75,0,0,0,0,0,0,0,1,0,0,Yes
76,0,0,0,0,0,0,0,0,0,0,No
77,0,0,0,0,0,0,0,0,0,0,No
78,0,0,0,0,0,0,0,0,0,0,No
79,1,1,0,1,1,0,1,1,0,1,Yes
80,0,1,1,1,1,1,1,1,1,1,Yes
81,0,0,0,0,1,0,0,0,0,0,Yes
82,1,0,1,1,0,1,0,0,1,1,Yes
84,0,0,0,0,0,0,0,0,0,0,No
85,0,1,1,1,0,0,0,0,0,0,Yes
86,0,0,1,0,0,0,0,0,0,0,Yes
87,0,0,0,0,0,0,0,0,0,0,No
88,0,0,0,0,0,0,0,0,0,0,No
90,0,0,0,0,0,0,0,0,0,0,No
91,1,1,1,1,1,1,0,1,1,1,Yes
92,0,0,0,0,0,0,0,0,0,0,No
94,1,0,1,0,0,1,1,0,1,1,Yes
95,0,0,0,0,0,0,0,0,0,0,No
96,0,0,0,0,0,0,0,0,0,0,No
97,0,0,0,0,0,0,0,0,0,0,No
98,0,0,0,0,0,0,0,0,0,0,No
99,0,0,0,1,1,0,0,0,0,1,Yes
100,1,1,1,1,1,1,1,1,1,1,Yes
102,0,0,0,0,1,0,0,1,0,0,Yes
103,0,0,0,0,0,0,0,0,0,0,No
104,1,1,1,1,1,1,1,1,1,0,Yes
105,0,0,0,0,0,0,0,0,0,0,No
108,0,0,0,0,0,0,0,0,0,0,No
109,0,0,0,0,0,0,0,0,0,0,No
110,0,0,0,0,0,0,0,0,0,0,No
111,0,0,0,0,0,0,0,0,0,0,No
112,0,0,0,0,0,0,0,0,0,0,No
113,0,0,0,0,0,0,0,0,0,0,No
114,0,0,0,0,0,0,0,0,0,0,No
115,0,0,0,0,0,0,0,0,0,0,No
116,0,0,0,0,0,0,0,0,0,0,No
117,0,0,0,0,0,0,0,0,0,0,No
118,0,0,0,0,0,0,0,0,0,0,No
120,0,0,0,0,0,0,0,0,0,0,No
121,0,0,0,0,0,0,0,0,0,0,No
122,0,1,1,0,1,0,0,1,1,1,Yes
123,0,0,0,0,0,0,0,0,0,0,No
124,0,0,0,0,0,0,0,0,0,0,No
125,0,0,0,0,0,0,0,0,0,0,No
126,0,0,0,0,0,0,0,0,0,0,No
127,0,0,0,0,0,0,0,0,0,0,No
128,0,0,0,0,1,0,0,0,0,1,Yes
129,0,0,0,1,0,1,1,1,1,1,Yes
130,0,0,0,0,0,0,0,0,0,0,No
131,1,1,1,0,1,0,1,1,1,1,Yes
132,0,0,0,0,0,0,0,0,0,0,No
133,0,0,0,0,0,0,0,0,0,0,No
134,0,0,0,0,0,0,0,0,0,0,No
135,1,0,0,1,1,1,0,1,1,1,Yes
136,0,0,1,1,0,0,0,0,0,0,Yes
137,1,1,1,1,1,1,1,1,1,1,Yes
138,0,0,0,0,0,0,0,0,0,0,No
139,1,0,1,0,0,0,0,0,0,1,Yes
140,1,1,1,1,1,1,1,1,1,1,Yes
141,0,0,1,0,1,1,1,0,0,0,Yes
142,0,0,0,0,0,0,0,0,0,0,No
144,1,1,1,1,1,1,1,1,1,1,Yes
145,0,0,0,0,0,0,0,0,0,0,No
146,1,1,0,1,1,1,0,1,1,1,Yes
147,0,1,1,1,0,0,1,1,0,1,Yes
148,1,1,1,1,1,1,1,1,1,1,Yes
150,1,1,1,1,1,1,1,1,0,1,Yes
152,0,0,0,0,0,0,0,0,0,0,No
153,0,0,0,0,0,0,0,0,0,0,No
154,0,0,0,0,0,0,0,0,0,0,No
155,1,1,0,1,0,1,1,1,1,1,Yes
156,0,0,0,0,0,0,0,0,0,0,No
157,1,1,1,1,1,1,1,1,1,1,Yes
159,0,0,0,0,0,0,0,0,0,0,No
160,0,0,0,0,0,0,0,0,0,0,No
161,0,0,0,0,0,0,0,0,1,0,Yes
162,1,1,1,1,1,1,1,1,1,1,Yes
163,1,1,1,1,1,1,1,1,1,1,Yes
164,1,1,1,1,1,1,1,1,1,1,Yes
165,1,1,1,1,1,1,1,1,1,1,Yes
166,0,0,0,0,0,0,0,0,0,0,No
167,0,0,1,0,1,1,0,0,1,1,Yes
