ID.v,00,01,02,03,04,05,06,07,08,09,Count
46,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
49,1,1,1,1,1,0,1,1,0,1,8
50,0,0,0,0,0,0,0,0,0,0,0
51,1,1,1,1,1,1,1,1,1,1,10
52,1,1,1,1,1,1,1,1,1,1,10
53,0,0,0,0,0,0,0,0,0,0,0
54,1,1,1,1,1,0,1,0,0,0,6
55,0,0,0,0,0,0,0,0,0,0,0
56,1,1,1,1,1,1,1,1,1,0,9
57,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0
65,1,0,1,0,0,0,1,0,0,0,3
66,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0
68,1,0,0,0,0,1,0,0,0,0,2
69,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0
72,1,1,1,1,0,1,0,1,1,1,8
73,0,0,1,1,1,1,0,0,0,1,5
74,0,0,0,0,0,0,0,0,0,0,0
75,0,1,1,1,1,1,1,1,1,1,9
76,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,1,0,1,0,1,1,4
78,0,0,0,0,0,1,1,1,1,0,4
79,1,0,0,0,0,0,1,0,0,0,2
80,1,1,1,1,1,1,1,1,1,1,10
81,0,0,0,0,0,0,1,0,0,0,1
82,0,0,0,0,0,0,1,0,0,0,1
84,0,0,0,0,0,0,0,0,0,0,0
85,1,1,1,0,1,1,0,1,1,0,7
86,1,1,1,1,1,1,1,1,1,1,10
87,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0
91,1,1,0,1,0,1,1,1,1,1,8
92,0,0,0,0,0,0,0,0,0,0,0
94,1,1,1,1,1,1,1,1,1,1,10
95,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0
99,1,1,1,0,1,0,1,0,1,1,7
100,1,1,1,1,1,1,1,1,1,1,10
102,0,0,0,1,0,0,0,1,0,0,2
103,0,0,0,0,0,0,0,0,0,0,0
104,1,0,1,0,0,0,0,0,0,0,2
105,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,1,0,0,0,0,0,1
129,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0
131,0,1,1,0,1,0,1,0,1,0,5
132,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0
135,1,1,0,1,1,1,0,0,1,1,7
136,1,0,0,0,1,0,0,1,1,0,4
137,1,1,1,1,1,1,1,1,1,1,10
138,0,0,0,0,0,0,0,0,0,0,0
